Chinese Name,English Name,Address,Latitude,Longitude,Main Products,Registered Capital (RMB),Opening Year
济南兰川化工有限公司,,济南市历下区和平路47号诚基中心19号楼2单元1727室,,,,39000000,2016
山东让古戎精细化工有限公司,,济南市历城区孙村镇,,,,40000000,2001
济南一农化工有限公司,,山东商河经济开发区,,,,17160000,2001
济南琴康化工有限公司,,济南市槐荫区段店镇宋庄工业园453号,,,,38000000,2017
济南苏江化工有限公司,,济南市历城区经十东路299号保利花园2号楼102商铺,,,,36000000,2016
济南秀吉化工有限公司,,济南市市中区二七新村南路14号中泰山水大厦517室,,,,36000000,2016
济南微青化工有限公司,,山东省济南市历下区文化东路26号2号楼3-301室,,,,38000000,2015
山东前沿石油化工有限公司,,济南市天桥区小清河北路188号胶州大厦401号,,,,30010000,2015
济南端端石油化工有限公司,,济南市历城区北园大街12号路劲东城一期6号楼1-107,,,,38000000,2017
济南天际源环保化工科技有限公司,,山东省济南市章丘区官庄街道兴隆官庄村,,,,50000000,2016
济南冉州化工有限公司,,济南市天桥区济洛路90号建华大厦B栋4002室,,,,37000000,2017
章丘市宝仲石油化工配件制造有限公司,,山东省济南市章丘区城东民营工业园,,,,50000000,1999
济南顶萨化工有限公司,,济南市历下区泉城路26号世茂国际广场B座1217室,,,,38000000,2016
济南颜建化工有限公司,,济南市历城区花园路168号1503,,,,35000000,2017
济南好饰家新材料科技有限公司,,山东省济南市天桥区蓝翔路15号时代总部基地5-3,,,,6000000,2010
济南展嘉化工有限公司,,济南市天桥区药山工业园时代总部基地2区12号,,,,34500000,2017
济南海德化工有限公司,,山东省济南市历城区华信路3号鑫苑鑫中心3号楼911室,,,,500000,2007
济南天源化工有限公司,,山东省济南市商河县玉皇庙镇三号公路8号,,,,10000000,2008
济南化工机械总厂有限公司,,济南市天桥区大桥镇大庄工业园13号,,,,3911100,1991
济南照月月石油化工有限公司,,济南市历城区花园路123号凯德商务楼三楼908室,,,,38000000,2017
济南致孚化工有限公司,,山东省济南市历下区玉兰广场3号楼2001,,,,35000000,2015
济南秀宏化工有限公司,,济南市天桥区无影山中路183-128号,,,,35000000,2017
青岛新宇田化工有限公司,,青岛市李沧区十梅庵村十梅庵路33号,,,,,1998
青岛海湾精细化工有限公司,,山东省青岛市平度市新河生态化工科技产业基地晋水路1号,,,,417290000,
青岛奥盖克化工股份有限公司,,青岛平度市新河生态化工科技产业基地丰水路5号,,,,95000000,2010
青岛丽东化工有限公司,,青岛经济技术开发区辽河路88号,,,,,2003
海利尔药业集团股份有限公司,,青岛市城阳区城东工业园内,,,,120000000,1999
海洋化工研究院有限公司,,青岛市市南区金湖路4号,,,,209716000,2000
青岛东方化工股份有限公司,,青岛莱西市青岛南路14号,,,,30270000,1995
山东瑞翼化工贸易有限公司,,青岛市李沧区重庆中路527号122,,,,1520000000,2012
狮王日用化工(青岛)有限公司,,山东省青岛经济技术开发区渭河路919号,,,,,1988
青岛海湾索尔维化工有限公司,,青岛高新技术产业开发区华贯路899号,,,,,2007
青岛海湾化学有限公司,,青岛市黄岛区泊里镇港丰路66号,,,,1917660000,1999
青岛宇田化工有限公司,,青岛平度市新河生态化工科技产业基地新昌路东首,,,,50000000,2011
青岛芊润化工有限公司,,青岛(平度市)新河生态化工科技产业基地新安路,,,,10000000,2009
青岛润农化工有限公司,,山东省青岛市平度市新河生态化工科技产业基地海浦北路8号,,,,200000000,2013
中国石油化工股份有限公司,,青岛市市南区延安三路218号,,,,,2000
索尔维精细化工添加剂(青岛)有限公司,,青岛高新技术产业开发区华贯路788号,,,,167000000,2008
富乐宁(青岛)化工有限公司,,青岛经济技术开发区淮河东路75号,,,,,2000
青岛长荣化工科技有限公司,,青岛平度市新河生态化工科技产业基地复水路1号,,,,26000000,2010
青岛灏龙松原化工有限公司,,山东省青岛市平度市新河生态化工科技产业基地海湾路3号,,,,100000000,2015
青岛海洋化工有限公司,,山东省青岛市平度市新河生态化工产业基地晋水路1号,,,,11800000,1999
中联港化工贸易有限公司,,青岛市保税区天智大厦22层H户,,,,50000000,2012
青岛锐丰源化工有限公司,,山东省青岛市平度市新河生态化工科技产业基地海浦北路10号,,,,200000000,2012
青岛思远化工有限公司,,青岛经济技术开发区淮河东路89号,,,,100000000,2000
阳煤集团青岛恒源化工有限公司,,山东省青岛市黄岛区世纪大道,,,,700900000,1999
青岛宏富昕化工技术装备有限公司,,青岛即墨市移风店镇太祉庄村太府街,,,,60000000,2010
青岛红星有机化工有限公司,,山东省青岛市黄岛区辽河路88号,,,,162000000,2005
青岛捷隆化工有限公司,,青岛市李沧区四流北路45号甲大门南3号门头,,,,500000,2001
青岛捷润液体化工有限公司,,青岛经济技术开发区黄河东路81号403室,,,,,2007
青岛奥特富隆化工有限公司,,青岛胶州市北关办事处辛庄东,,,,45000000,2001
青岛金能化工机械有限公司,,青岛经济技术开发区黄河西路100号,,,,57566800,2005
青岛和新精细化工有限公司,,青岛平度市新河化工园复水路3号,,,,70000000,2014
青岛阳林鸿化工有限公司,,青岛新河生态化工科技产业基地海湾路2号,,,,50000000,2012
青岛海湾液体化工港务有限公司,,山东省青岛市黄岛区泊里镇港润大道88号,,,,300000000,2011
青岛晶驰化工有限公司,,青岛市市南区延安三路220号1203室,,,,80000000,2003
青岛嘉润化工有限公司,,青岛即墨市蓝村镇郭家庄村站前街南侧西首,,,,44560000,2006
青岛豪纳化工科技有限公司,,青岛平度市新河生态化工科技产业基地新昌路东首,,,,50000000,2011
山东尚泰石油化工有限公司,,山东省青岛市保税区东京路64号5959号,,,,,2016
青岛中海泉化工科技有限公司,,山东省青岛市黄岛区峨眉山路396号青岛光谷软件园23栋102室,,,,100000000,2009
青岛丽星仓储化工有限公司,,山东省青岛市黄岛区辽河路33号,,,,,2009
金诺化工有限公司,,山东省青岛市胶州市胶东街道办事处小麻湾东村,,,,50000000,2016
青岛聚大洋藻业集团有限公司,,青岛市黄岛区飞宇路118号,,,,52942857,2000
青岛弗兰克精细化工有限公司,,青岛市城阳区上马街道王家庄社区,,,,,2005
青岛碱业发展有限公司,,青岛市李沧区四流北路78号,,,,200000000,2007
青岛环海石油化工科技开发有限公司,,山东省青岛市黄岛区黄岛办事处张戈庄村,,,,72000000,2007
青岛北方化工品交易市场有限公司,,山东省青岛市黄岛区长江中路3号鸿润大厦1602-1603室,,,,129869135,2010
青岛海洋热电化工设备有限公司,,青岛平度市经济开发区郁江路4号,,,,76660000,1999
青岛丛林化工有限公司,,青岛市李沧区重庆中路1007号,,,,5000000,2006
青岛俪徕精细化工有限公司,,山东省青岛市保税港区伦敦路27号小区,,,,8000000,2003
青岛动宏丰化工有限公司,,山东省青岛市保税区北京路54号密尔大厦3层306室,,,,,2016
青岛阿尔法石油化工有限公司,,山东省青岛市保税区北京路43号办公楼三楼116号,,,,80000000,2017
青岛旭泰化工有限公司,,青岛市市南区山东路40号广发金融大厦1905室,,,,43769000,2005
青岛科迈特化工设备有限公司,,山东省青岛市即墨市青岛汽车产业新城埠惜路920号,,,,40000000,2017
青岛华天大化化工有限公司,,青岛市市南区伏龙路9号202,,,,50000000,2014
青岛爱琼化工有限公司,,山东省青岛市市北区道口路2号316室,,,,50000000,2015
青岛岚桥石油化工有限公司,,山东省青岛市崂山区同安路896号4号楼4单元301,,,,50000000,2018
青岛福诺化工科技有限公司,,山东省青岛市市北区郑州路43号B栋338室,,,,50000000,2003
中铁国投能源化工有限公司,,山东省青岛市黄岛区寨子山路873号,,,,50000000,2017
青岛东进石油化工有限公司,,山东省青岛市市南区东海西路37号3栋18层2户13号,,,,50000000,2016
金海碘化工(青岛)有限公司,,山东省青岛市市北区台柳路177号,,,,20000000,2008
青岛鑫荣福化工科技有限公司,,青岛平度市新河镇新昌路,,,,50000000,2011
青岛祥昌石油化工有限公司,,山东省青岛市保税区莫斯科路49号二楼2010室-A286号,,,,50000000,2016
青岛中茂晟泰石油化工有限公司,,山东省青岛市保税港区北京路45号1号库一楼156号,,,,288880000,2018
青岛昊禾石油化工有限公司,,山东省青岛市市北区敦化路328号诺德广场2号楼806户,,,,60000000,2013
青岛信达志石油化工有限公司,,山东省青岛市黄岛区茂山路687号-213室,,,,50000000,2016
中炼精制石油化工(青岛)有限公司,,山东省青岛市市南区宁夏路288号3号楼106室,,,,60000000,2018
青岛圣宇石油化工有限公司,,山东省青岛市保税区上海路前盛1号仓储办公楼5695号,,,,300000000,2015
青岛乐恩化工科技有限公司,,山东省青岛市市北区重庆南路298号雁山世纪商务中心1303室,,,,5000000,2014
青岛运达石油化工有限公司,,青岛市市北区延吉路76号中海大厦6幢2101室,,,,61000000,2013
青岛庆业启华石油化工有限公司,,山东省青岛市黄岛区滨海大道1201号东方至尊3-2-401室,,,,50000000,2016
山东美陵博德化工机械有限公司,,山东省青岛市黄岛区富源工业园七星河路313号,,,,60000000,2002
耐涂可精细化工(青岛)有限公司,,山东省青岛市平度市新河生态化工科技产业基地海湾路4号,,,,116969500,2012
山东鑫石源石油化工有限公司,,山东省青岛市保税区莫斯科路49号二楼2010室-A421号,,,,200000000,2017
青岛路邦石油化工有限公司,,青岛市崂山区株洲路177号内,,,,15000000,1997
青岛树阳化工科技有限公司,,山东省青岛市莱西市经济开发区九江路2号,,,,50000000,2017
青岛奥鑫化工有限公司,,青岛平度市经济技术开发区福州南路49号,,,,,2004
青岛芯力达燃料石油化工有限公司,,山东省青岛市李沧区万年泉路8号李村茶叶市场中区8号,,,,50000000,2018
山东康诚石油化工科技股份有限公司,,青岛市崂山区株洲路175号1号楼一层,,,,50000000,2011
青岛国际化工品交易市场有限公司,,青岛保税区9区1号仓储楼一层,,,,100000000,2008
山东贵和聚鑫石油化工有限公司,,山东省青岛市黄岛区泊里镇董家口路28号创客创业中心706号,,,,118880000,2018
金诺海洋(青岛)化工有限公司,,山东省青岛市即墨区蓝村镇王家辛庄村,,,,50000000,2015
青岛市海大化工有限公司,,青岛市市南区新泰安路27号如意大厦2105户,,,,600000,2003
青岛牯牛化工有限公司,,青岛市城阳区流亭街道西后楼村东,,,,37500000,2003
空气化工产品(青岛)有限公司,,山东省青岛市黄岛区董家口经济区青岛特殊钢铁有限公司厂区内,,,,,2013
青岛洛加金泰化工设备有限公司,,青岛市城阳区夏庄街道新民社区王沙路东,,,,30000000,2014
青岛海瑞特化工材料有限公司,,青岛胶州市正北名苑7号楼9号网点,,,,5000000,2010
青岛美福石油化工有限公司,,青岛市李沧区金水路318号102室,,,,30000000,2009
青上化工(青岛)有限公司,,青岛市城阳区流亭街道双元路以西,,,,,2006
爱思开化工(青岛)有限公司,,青岛经济技术开发区江山中路12号,,,,,2001
青岛加华化工有限公司,,青岛市黄岛区明关路818号,,,,,1999
青岛琪丰化工有限公司,,青岛平度市经济技术开发区广州路南段西侧,,,,,2002
中勘石油天然气化工(青岛)有限公司,,青岛经济技术开发区黄河西路706号211室,,,,51800000,2012
山东美陵化工设备股份有限公司,,淄博市临淄区齐陵路56号,,,,55458093,1993
山东迅达化工集团有限公司,,临淄区敬仲镇工业区,,,,30800000,1991
山东凯日化工股份有限公司,,淄博市临淄区辛化路191号,,,,200040000,2003
山东天迈化工有限公司,,临淄齐鲁化学工业园纬六路西首,,,,46600000,2003
山东蓝帆化工有限公司,,山东省淄博市齐鲁化学工业区内,,,,100000000,2003
山东海力化工股份有限公司,,桓台县马桥镇大成工业区,,,,300000000,2003
淄博海正化工股份有限公司,,临淄区凤凰镇西陈家村,,,,33000000,2005
山东宏信化工股份有限公司,,淄博市周村区新建西路10号,,,,218000000,1996
淄博鲁华泓锦新材料股份有限公司,,淄博市张店区冯北路3号,,,,445400000,1989
山东齐隆化工股份有限公司,,山东省淄博市张店区冯北路7号,,,,150000000,1998
淄博贝特化工设备有限公司,,山东省淄博市张店区房镇镇房东村,,,,30000000,2003
山东建龙化工股份有限公司,,淄博市高新技术产业开发区桓台新区建龙路100号,,,,22000000,2002
山东恒利石油化工股份有限公司,,山东省淄博市周村区周隆路8887号,,,,21870000,1994
淄博临淄万通精细化工有限公司,,临淄区金山镇万通巷6号,,,,12000000,1997
山东大成生物化工有限公司,,山东省淄博市张店区湖田街道办事处张店东部化工区,,,,100000000,2015
山东金城医药集团股份有限公司,,山东省淄博市淄川经济开发区双山路1号,,,,393152238,2004
山东三维石化工程股份有限公司,,临淄区炼厂中路22号,,,,503262849,1994
淄博旭佳化工有限公司,,临淄区齐鲁化工区精细化工园,,,,16780000,2005
淄博大众食用化工股份有限公司,,淄川区罗村镇泉子村,,,,3600000,2004
山东民基化工有限公司,,山东省淄博市张店东部化工区湖田横二路(纵二北路—南官路段)路北侧,,,,110000000,2008
山东宝源化工有限公司,,淄博市桓台县唐山镇政府驻地,,,,3000000,1998
齐鲁伊士曼精细化工有限公司,,临淄区辛化路8号,,,,,2002
山东富丰柏斯托化工有限公司,,淄博临淄齐鲁化学工业区精细化工园乙烯北路76号,,,,172084016,2005
山东建兰化工股份有限公司,,山东省淄博市临淄区金山镇一化北路7号,,,,136000000,2007
山东凯盛新材料股份有限公司,,淄博市淄川区双杨镇,,,,100000000,2005
山东兴鲁化工股份有限公司,,淄博市临淄区乙烯新区,,,,35000000,1993
淄博旭升化工有限公司,,张店区良乡工业园,,,,5500000,2004
淄博华源化工有限公司,,临淄区金山镇万通路11号,,,,12000000,2010
淄博圣峰化工有限公司,,山东省淄博市临淄区胜利路80号,,,,2100000,2015
淄博市临淄泽荣化工有限公司,,山东省淄博市临淄区乙烯南路东段南山经五路,,,,5300000,2003
山东大齐石油化工设计有限公司,,淄博市临淄区临淄大道688号501室,,,,50000000,2001
淄博市临淄有机化工股份有限公司,,临淄区化工区纬六路南,,,,25467000,1993
山东隆广化工科技有限公司,,山东省淄博市临淄区齐鲁国际塑化城辛化路2158号510,,,,50000000,2014
淄博德丰化工有限公司,,桓台县田庄镇大庞工业区,,,,24000000,1997
山东大成化工集团有限公司,,张店区洪沟路25号,,,,167420000,1998
淄博新塑化工有限公司,,淄博市张店区冯北路5号,,,,60000000,1997
